"","Group.1","aceptar_ha","aceptar_ha(p_val)","tstudent"
"1","Abarco ",FALSE,FALSE,-0.552893653305099
"31","Azucena",FALSE,FALSE,1.62166450562537
"47","Café Grano Verde  - Chinchina",FALSE,FALSE,9.24287457372641
"68","Ceiba Tolua",FALSE,FALSE,0.19924512171133
"79","Delphinium o pelícano ",TRUE,TRUE,-3.05085107923876
"81","Espinaca ",FALSE,FALSE,2.8137311413694
"129","Nabo",TRUE,TRUE,-3.48346247857749
"140","Paco ",FALSE,FALSE,1.28873708830415
"149","Peine Mono ",FALSE,FALSE,-0.743921234687386
"156","Pinuela ",FALSE,FALSE,-1.1168703715231
