P_S6P46,nombre
196104035,Abarco 
191999067,Acacia Forrajera 
196104068,Acacio 
196105051,Aceite de maría
121904001,Acelga 
196104061,Achapo  
169299007,Achiote
159902001,Achiras 
196103034,Agapanto (Flor de amor)
134101002,Agraz - Mortino
131101001,Aguacate 
123502001,Ahuyama 
193002030,"Ajenjo, asensio, ajorizo, artemisia amarga"
123101001,Ajíes y pimientos 
144401001,Ajonjolí 
125201001,Ajos 
193002001,Albahaca 
135301001,Albaricoque 
121601001,Alcachofa 
196105016,Alcaparro
196103036,Aleli o Alheli Amarillo o Alheli Dorado
191201001,Alfalfa 
196104074,Algarrobo 
192101001,Algodón 
196104004,Aliso- Cerezo- Abedul 
196105025,Almendro 
131999020,Almirajo 
119001001,Alpiste 
193002031,Altamisa 
119004001,Amaranto 
196104030,Amarillo 
199299105,Anamú 
196103037,Anigozanto  o Patas de Canguro
165401001,Anis 
131913001,Anon- Vinon- Saramuyo 
196103005,Anturio
129006001,Apio 
134101001,Arándano
131999009,Araza  
196104087,Arbol Coca- Quecho Verde 
193004000,Árbol de Neem
131999001,Arbol Del Pan 
159901001,Arracacha 
196104022,Arrayan 
113202001,Arroz verde 
124201001,Arveja verde 
121902002,Asai - Palmito (palma)
196103081,Asiatic lily 
196103038,"Aster, Agatea, Felicia, Margarita azul "
196103035,Astromelia
196103039,Ave del Paraiso
117201001,Avena
191999079,Avena Forrajera 
196104084,Avina/Bugegu 
169299002,Azafrán - Curcuma
196103071,Azafran o Flor de Azafran
196103006,Azalea 
196103007,Azucena
131999045,Babaco  
131999033,Bacao- Maraca 
131908001,Badea- Timbo 
196105048,Bálsamo del tolú
196105010,Balso
196104102,Bambú
131201001,Banano 
13120100101,Banano tipo exportación
159906003,Barbacoano 
193002066,Barbasco
159101001,Batata
196103072,Begonia de flor o Flor de azúcar o Begonia 
196103082,Bellis o Margarita de los prados o Bellorita 
123301001,Berenjenas 
129005001,Berro 
131999047,Boldo
159904001,Bore 
131906001,Borojo 
193002024,Borrachero - Datura arborea L.
196103087,Boton de oro
131925001,Brevo 
121302001,Brócoli 
196103040,Bromelias - Bromelia sp 
164001001,Cacao grano
196105092,Cachimbo
196104065,Cachimondo 
16100100103,Cafe Borbon
16100100110,Café Castilla
16100600000,Café Catimor
16100100105,Cafe Caturra
16100700000,Café Costa Rica
16100500009,Café Grano Verde  - Boston
