TIPO_REG,PAIS,P_DEPTO,P_S6P47B,P_S6P59_UNIF,P_S6P60,AREA_SEMBRADA,AREA_COSECHADA
4,170,63,1950,,12,34.717795877,0
4,170,63,1951,24.873552661,12,34.717795877,34.717795877
4,170,63,1952,9.9356946296,12,34.717795877,34.717795877
4,170,63,1952,9.078078098,12,34.717795877,34.717795877
4,170,63,1953,1.08,12,17.031314786,17.031314786
4,170,63,1954,,12,63.747944829,0
4,170,63,1958,6.5679445766,12,19.146425119,19.146425119
4,170,63,1959,0.72,12,19.146425119,19.146425119
4,170,63,1959,6.5679445766,12,0.2466299381,0.2466299381
4,170,63,1960,,12,0.2466299381,0
4,170,63,1960,9.078078098,12,0.16753696,0.16753696
4,170,63,1960,6.5679445766,12,0.16753696,0.16753696
4,170,63,1960,6.5679445766,12,8.1467687613,8.1467687613
4,170,63,1960,,12,8.1467687613,0
4,170,63,1961,1.44,12,8.1467687613,8.1467687613
4,170,63,1962,9.078078098,12,66.755318131,66.755318131
4,170,63,1962,10.800868536,12,4.4902969113,4.4902969113
4,170,63,1962,10.800868536,12,4.2747329048,4.2747329048
4,170,63,1962,10.800868536,12,4.6161904809,4.6161904809
4,170,63,1962,9.078078098,12,29.389603166,29.389603166
4,170,63,1962,6.5679445766,12,3.2460641044,3.2460641044
4,170,63,1962,0.72,12,12.554452211,12.554452211
4,170,63,1962,0.72,12,12.554452211,12.554452211
4,170,63,1962,0.72,12,7.8465326321,7.8465326321
4,170,63,1962,6.5679445766,12,7.8465326321,7.8465326321
4,170,63,1962,9.078078098,12,7.8465326321,7.8465326321
4,170,63,1962,6.5679445766,12,4.0446086009,4.0446086009
4,170,63,1962,,12,4.0446086009,0
4,170,63,1962,,12,4.0446086009,0
4,170,63,1962,6.5679445766,12,37.706222242,37.706222242
4,170,63,1962,6.5679445766,12,3.4139235216,3.4139235216
4,170,63,1962,,12,3.4139235216,0
4,170,63,1962,24.744290929,12,3.4139235216,3.4139235216
4,170,63,1962,6.5679445766,12,0.4766069339,0.4766069339
4,170,63,1962,9.078078098,12,0.4766069339,0.4766069339
4,170,63,1962,6.5679445766,12,3.5261405421,3.5261405421
4,170,63,1962,,12,3.5261405421,0
4,170,63,1962,,12,3.5261405421,0
4,170,63,1962,,12,1.8572248979,0
4,170,63,1962,6.5679445766,12,1.8572248979,1.8572248979
4,170,63,1962,1.7215128792,12,1.8572248979,1.8572248979
4,170,63,1962,6.5679445766,12,0.5082179009,0.5082179009
4,170,63,1979,24.196417741,12,0.5082179009,0.5082179009
4,170,63,1979,,12,0.5082179009,0
4,170,63,1979,6.5679445766,12,1.1239882032,1.1239882032
4,170,63,1979,9.078078098,12,1.1239882032,1.1239882032
4,170,63,1979,9.078078098,12,0.11495604,0.11495604
4,170,63,1979,6.5679445766,12,1.2172587484,1.2172587484
4,170,63,1979,,12,1.2172587484,0
4,170,63,1979,1.6880947511,12,1.2172587484,1.2172587484
4,170,63,1979,6.5679445766,12,0.6107906574,0.6107906574
4,170,63,1979,,12,0.6107906574,0
4,170,63,1979,22.870334153,12,0.6107906574,0.6107906574
4,170,63,1979,6.5679445766,12,0.7366821699,0.7366821699
4,170,63,1979,,12,0.7366821699,0
4,170,63,1979,9.078078098,12,0.07534426,0.07534426
4,170,63,1979,6.5679445766,12,0.07534426,0.07534426
4,170,63,1979,,12,5.0205556932,0
4,170,63,1979,6.5679445766,12,2.1556996879,2.1556996879
4,170,63,1979,,12,2.1556996879,0
4,170,63,1979,1.08,12,2.1556996879,2.1556996879
4,170,63,1979,,12,0.02120561,0
4,170,63,1979,1.08,12,10.887606101,10.887606101
4,170,63,1981,9.078078098,12,0.10710133,0.10710133
4,170,63,1981,6.5679445766,12,0.10710133,0.10710133
4,170,63,1981,6.5679445766,12,59.504655609,59.504655609
4,170,63,1981,0.72,12,10.566579354,10.566579354
4,170,63,1981,6.5679445766,12,2.1427272368,2.1427272368
4,170,63,1981,10.800868536,12,2.1427272368,2.1427272368
4,170,63,1981,9.9134331704,12,2.1427272368,2.1427272368
4,170,63,1981,6.5679445766,12,2.1427272368,2.1427272368
4,170,63,1981,6.5679445766,12,3.6878670691,3.6878670691
4,170,63,1981,,12,3.6878670691,0
4,170,63,1981,3.6629854056,12,3.6878670691,3.6878670691
4,170,63,1981,,12,3.6878670691,0
4,170,63,1981,0.72,12,3.6878670691,3.6878670691
4,170,63,1981,6.5679445766,12,0.1836151249,0.1836151249
4,170,63,1981,9.078078098,12,0.1836151249,0.1836151249
4,170,63,1981,6.5679445766,12,5.0849203792,5.0849203792
4,170,63,1981,,12,5.0849203792,0
4,170,63,1981,1.44,12,5.0849203792,5.0849203792
4,170,63,1981,1.08,12,4.4059638818,4.4059638818
4,170,63,1981,,12,4.4059638818,0
4,170,63,1981,6.5679445766,12,4.4059638818,4.4059638818
4,170,63,1981,6.5679445766,12,1.4707773133,1.4707773133
4,170,63,1981,,12,1.4707773133,0
4,170,63,1981,0.72,12,1.4707773133,1.4707773133
4,170,63,1981,1.44,12,5.0849203792,5.0849203792
4,170,63,1981,,12,5.0849203792,0
4,170,63,1981,6.5679445766,12,5.0849203792,5.0849203792
4,170,63,1981,,12,0.0189454541,0
4,170,63,1981,,12,0.0189454541,0
4,170,63,1981,6.5679445766,12,0.04334145,0.04334145
4,170,63,1981,9.078078098,12,0.04334145,0.04334145
4,170,63,1981,,12,5.1283639265,0
4,170,63,1981,0.72,12,5.1283639265,5.1283639265
4,170,63,1981,,12,0.0660597511,0
4,170,63,1981,6.5679445766,12,0.0660597511,0.0660597511
4,170,63,1981,6.5679445766,12,1.6140212183,1.6140212183
4,170,63,1981,6.5679445766,12,9.2860010695,9.2860010695
4,170,63,1981,9.078078098,12,9.2860010695,9.2860010695
4,170,63,1981,19.625346469,12,9.2860010695,9.2860010695
4,170,63,1981,,12,20.506246782,0
4,170,63,1981,3.4986323477,12,20.506246782,20.506246782
4,170,63,1981,6.5679445766,12,12.868828858,12.868828858
4,170,63,1981,6.5679445766,12,8.5792192389,8.5792192389
4,170,63,1981,9.078078098,12,8.5792192389,8.5792192389
4,170,63,1981,19.625346469,12,8.5792192389,8.5792192389
4,170,63,1981,6.5679445766,12,1.0744124566,1.0744124566
4,170,63,1981,,12,1.0744124566,0
4,170,63,1981,1.08,12,1.0744124566,1.0744124566
4,170,63,1981,1.08,12,3.2232373699,3.2232373699
4,170,63,1981,,12,3.2232373699,0
4,170,63,1981,6.5679445766,12,3.2232373699,3.2232373699
4,170,63,1981,6.5679445766,12,6.4344144292,6.4344144292
4,170,63,1981,9.078078098,12,6.4344144292,6.4344144292
4,170,63,1981,6.5679445766,12,2.1488249132,2.1488249132
4,170,63,1981,,12,2.1488249132,0
4,170,63,1981,1.08,12,2.1488249132,2.1488249132
4,170,63,1981,6.5679445766,12,7.2326614051,7.2326614051
4,170,63,1981,6.5679445766,12,6.8354155939,6.8354155939
4,170,63,1981,,12,6.8354155939,0
4,170,63,1981,3.3868873589,12,6.8354155939,6.8354155939
4,170,63,1981,,12,6.8354155939,0
4,170,63,1981,,12,2.1488249132,0
4,170,63,1981,6.5679445766,12,2.1488249132,2.1488249132
4,170,63,1981,1.08,12,2.1488249132,2.1488249132
4,170,63,1981,6.5679445766,12,6.4344144292,6.4344144292
4,170,63,1981,9.078078098,12,6.4344144292,6.4344144292
4,170,63,1981,3.6531503315,12,13.670831188,13.670831188
4,170,63,1981,,12,13.670831188,0
4,170,63,1981,9.078078098,12,0.08455192,0.08455192
4,170,63,1981,6.5679445766,12,0.08455192,0.08455192
4,170,63,1981,25.11489465,12,1.8747357683,1.8747357683
4,170,63,1981,25.11489465,12,1.9012858334,1.9012858334
4,170,63,1981,25.11489465,12,1.9385231065,1.9385231065
4,170,63,1981,25.11489465,12,1.9446030591,1.9446030591
4,170,63,1981,25.11489465,12,1.9446395688,1.9446395688
4,170,63,1981,25.11489465,12,1.9461602682,1.9461602682
4,170,63,1981,25.11489465,12,1.9711023588,1.9711023588
4,170,63,1981,25.11489465,12,1.9580897878,1.9580897878
4,170,63,1981,25.11489465,12,1.9699923291,1.9699923291
4,170,63,1981,25.11489465,12,1.851434554,1.851434554
4,170,63,1981,25.11489465,12,1.9186498734,1.9186498734
4,170,63,1981,25.11489465,12,1.8681459202,1.8681459202
4,170,63,1981,25.11489465,12,1.8579125174,1.8579125174
4,170,63,1981,25.11489465,12,1.8542949542,1.8542949542
4,170,63,1981,25.11489465,12,1.8894831033,1.8894831033
4,170,63,1981,25.11489465,12,1.8566268283,1.8566268283
4,170,63,1981,25.11489465,12,1.873908383,1.873908383
4,170,63,1981,25.11489465,12,1.8859233671,1.8859233671
4,170,63,1981,6.5679445766,12,16.206408066,16.206408066
4,170,63,1981,6.5679445766,12,9.2925465048,9.2925465048
4,170,63,1981,6.9127590097,12,9.2925465048,9.2925465048
4,170,63,1981,19.625346469,12,9.2925465048,9.2925465048
4,170,63,1981,9.9356946296,,9.2925465048,9.2925465048
4,170,63,1981,6.5679445766,12,0.9817389757,0.9817389757
4,170,63,1981,9.078078098,12,0.9817389757,0.9817389757
4,170,63,1981,9.078078098,12,0.70449631,0.70449631
4,170,63,1981,6.5679445766,12,0.70449631,0.70449631
4,170,63,1981,6.5679445766,12,1.5942733333,1.5942733333
4,170,63,1981,6.5679445766,12,1.2802030997,1.2802030997
4,170,63,1981,22.265562796,12,1.2802030997,1.2802030997
4,170,63,1981,,12,1.2802030997,0
4,170,63,1981,6.5679445766,12,0.1940468663,0.1940468663
4,170,63,1981,,12,0.1940468663,0
4,170,63,1981,,12,0.1940468663,0
4,170,63,1981,3.6530090506,12,0.1940468663,0.1940468663
4,170,63,1981,,12,0.1626265486,0
4,170,63,1981,6.5679445766,12,0.1626265486,0.1626265486
4,170,63,1981,1.9771320504,12,0.1626265486,0.1626265486
4,170,63,1981,1.08,12,0.1626265486,0.1626265486
4,170,63,1981,0.2196155033,12,0.7317367196,0.7317367196
4,170,63,1981,6.5679445766,12,0.7317367196,0.7317367196
4,170,63,1981,,12,0.7317367196,0
4,170,63,1981,16.425489035,12,0.7317367196,0.7317367196
4,170,63,1981,6.5679445766,12,1.0086255141,1.0086255141
4,170,63,1981,9.078078098,12,1.0086255141,1.0086255141
4,170,63,1981,9.078078098,12,0.18489246,0.18489246
4,170,63,1981,6.5679445766,12,0.18489246,0.18489246
4,170,63,1981,1.44,12,15.179745508,15.179745508
